model,accuracy,precision,recall,f1_score,confusion_matrix
Multinomial Naive Bayes,0.9704035874439462,0.9915254237288136,0.785234899328859,0.8764044943820225,"[[965, 1], [32, 117]]"
Logistic Regression,0.968609865470852,0.9913793103448276,0.7718120805369127,0.8679245283018868,"[[965, 1], [34, 115]]"
Support Vector Machine (SVC),0.9775784753363229,0.984375,0.8456375838926175,0.9097472924187726,"[[964, 2], [23, 126]]"
Random Forest,0.9748878923766816,1.0,0.8120805369127517,0.8962962962962963,"[[966, 0], [28, 121]]"
